"gene_symbol","pathway_id","pathway_name","is_metabolic_or_immune_pathway"
"CXCL10","path:hsa04060",,FALSE
"CXCL10","path:hsa04061",,FALSE
"CXCL10","path:hsa04062",,FALSE
"CXCL10","path:hsa04620",,FALSE
"CXCL10","path:hsa04622",,FALSE
"CXCL10","path:hsa04623",,FALSE
"CXCL10","path:hsa04657",,FALSE
"CXCL10","path:hsa04668",,FALSE
"CXCL10","path:hsa05160",,FALSE
"CXCL10","path:hsa05164",,FALSE
"CXCL10","path:hsa05169",,FALSE
"CXCL10","path:hsa05171",,FALSE
"GSS","path:hsa00270",,FALSE
"GSS","path:hsa00480",,FALSE
"GSS","path:hsa01100",,FALSE
"GSS","path:hsa01240",,FALSE
"GSS","path:hsa04216",,FALSE
"AQP4","path:hsa04962",,FALSE
"AQP4","path:hsa04976",,FALSE
"IL6R","path:hsa01521",,FALSE
"IL6R","path:hsa04060",,FALSE
"IL6R","path:hsa04061",,FALSE
"IL6R","path:hsa04066",,FALSE
"IL6R","path:hsa04151",,FALSE
"IL6R","path:hsa04630",,FALSE
"IL6R","path:hsa04640",,FALSE
"IL6R","path:hsa04659",,FALSE
"IL6R","path:hsa04932",,FALSE
"IL6R","path:hsa05163",,FALSE
"IL6R","path:hsa05171",,FALSE
"IL6R","path:hsa05200",,FALSE
"CLEC4D","path:hsa04625",,FALSE
"ARG1","path:hsa00220",,FALSE
"ARG1","path:hsa00330",,FALSE
"ARG1","path:hsa01100",,FALSE
"ARG1","path:hsa01230",,FALSE
"ARG1","path:hsa04148",,FALSE
"ARG1","path:hsa05146",,FALSE
"HRH4","path:hsa04080",,FALSE
"ALOX15","path:hsa00590",,FALSE
"ALOX15","path:hsa00591",,FALSE
"ALOX15","path:hsa01100",,FALSE
"ALOX15","path:hsa04148",,FALSE
"ALOX15","path:hsa04216",,FALSE
"ALOX15","path:hsa04217",,FALSE
"ALOX15","path:hsa04726",,FALSE
"IL5RA","path:hsa04060",,FALSE
"IL5RA","path:hsa04630",,FALSE
"IL5RA","path:hsa04640",,FALSE
"IL5RA","path:hsa05200",,FALSE
"IDO1","path:hsa00380",,FALSE
"IDO1","path:hsa01100",,FALSE
"IDO1","path:hsa01240",,FALSE
"IDO1","path:hsa05143",,FALSE
